"SKUID";"SKUGROUP";"DESCRIPTION";"MU";"BASEUNITS";"UNITSPERPARCEL";"UNITSPERPALLET";"MANUFACTURER";"COUNTRYOFORIGIN";"TRADITIONALTRADE";"LOCATION";"NETWEIGHT"
"00000670";"";"Монастырский 45% (Мол.Мир)";"vnt";1;0;0;" ";" ";1;"SPB";
"00000661";"";"Монастырский 50% (Могилев)";"vnt";1;0;0;" ";" ";1;"SPB";
"00000692";"Группа 4";"Монтегро 50% (Славянские сыры)";"kg";1;0;0;"Украина";"Украина";1;"SPB";
"00001222";"Группа 2";"Морож  ваниль. пломбир с карамелью ""Гурманам""  490гх9  (074)";"vnt";1;9;0;"Svalia-ICE";"Литва";1;"SPB";0.49
"00001293";"Группа 2";"Морож  ваниль.пломбир в вафель.стак.(SVALIA) 110мл, м.ж..14%(Е3779)";"vnt";1;42;0;"Svalia-ICE";"Литва";1;"SPB";0.11
"00001223";"Группа 2";"Морож  ваниль.пломбир с шок. нач. ""Гурманам""  490гх9шт (067)";"vnt";1;9;0;"Svalia-ICE";"Литва";1;"SPB";0.49
"00001350";"Группа 2";"Морож  пломбир крем-брюле с карам. в ваф.стак.(SVALIA) 110мл, м.ж..14% (3777)";"vnt";1;42;0;"Svalia-ICE";"Литва";1;"SPB";
"00001294";"Группа 2";"Морож  шокол.пломбир в вафель.стак.(SVALIA) 110мл, м.ж..14%(Е3778)";"vnt";1;42;0;"Svalia-ICE";"Литва";1;"SPB";0.11
"00001296";"Группа 2";"Морож эскимо ваниль.пломб.в шок.глаз.с миндал.(SVALIA) 58 г., м.ж.14%(Е3781)";"vnt";1;30;0;"Svalia-ICE";"Литва";1;"SPB";0.058
"00001295";"Группа 2";"Морож эскимо ваниль.пломбир в шок.глазури(SVALIA) 58 г., м.ж..14%(Е3780)";"vnt";1;30;0;"Svalia-ICE";"Литва";1;"SPB";0.058
"00001224";"Группа 2";"Морож. ванильный пломбир ""Гурманам"" (Сваля)   440гх9 шт  (050)";"vnt";1;9;0;"Svalia-ICE";"Литва";1;"SPB";0.44
"00001159";"Группа 2";"Морож. грушевый щербет в шоколад.глазури 9х8 (Мяу)  (979)";"vnt";1;9;0;"Svalia-ICE";"Литва";1;"SPB";0.072
"00001160";"Группа 2";"Морож. пломб. ваниль. с карам.нач.в шок.глазури 8х30,3 (Мяу) ( 9шт/кор)   (962)";"vnt";1;9;0;"Svalia-ICE";"Литва";1;"SPB";0.2
"00001161";"Группа 2";"Морож. пломбир  ваниль. в шоколадной глазури 8х17,5 (Мяу)  (10шт/кор)   (948)";"vnt";1;10;0;"Svalia-ICE";"Литва";1;"SPB";0.2
"00001162";"Группа 2";"Морож. со вкусом клубники в шоколад. глазури  8х17,5  (Мяу) (10шт/кор)   (955)";"vnt";1;10;0;"Svalia-ICE";"Литва";1;"SPB";0.2
"00001139";"Группа 2";"Морож. эскимо ваниль с карамелью  ""Гурманам"" 4х72 г  (6 шт/кор)   (470)";"vnt";1;6;0;"Svalia-ICE";"Литва";1;"SPB";0.072
"00001138";"Группа 2";"Морож. эскимо с миндалём  ""Гурманам"" 4х69г   (6 шт/кор)   (399)";"vnt";1;6;0;"Svalia-ICE";"Литва";1;"SPB";0.069
"00001137";"Группа 2";"Морож. эскимо с шок.орех начинкой с хрус""Гурманам"" 4х72г  (6шт/кор)    (456)";"vnt";1;6;0;"Svalia-ICE";"Литва";1;"SPB";0.072
"00000686";"Группа 4";"Моцарела 40% (Ичалки)";"kg";1;0;0;"Россия - Ичалки";" ";1;"SPB";
"00000957";"Группа 4";"Моцарелла  в в/у (Бельгия)";"kg";1;0;0;"Прочие";"Бельгия";1;"SPB";
"00001279";"Группа 4";"Моцарелла (Ольденбург-Германия)";"kg";1;0;0;"Прочие";"Германия";1;"SPB";
"00000892";"Группа 4";"Моцарелла 40% ТМ Заксенмилх (Германия)";"kg";1;0;0;"Прочие";"Германия";1;"SPB";
"00000726";"Группа 3";"Моцарелла в рассоле 100гх10шт (Литва)";"vnt";1;10;0;"Vilkyskiu";"Литва";1;"SPB";0.1
"00001315";"Группа 3";"Моцарелла в рассоле 100гх8шт (Литва)";"vnt";1;8;0;"Vilkyskiu";"Литва";1;"SPB";0.1
"00001324";"Группа 3";"Моцарелла с индийскими приправами 0250х10 шт.";"vnt";1;10;0;"Vilkyskiu";" ";1;"SPB";0.25
"00001322";"Группа 3";"Моцарелла с мексиканскими приправами 0,250х10 шт";"vnt";1;0;0;"Vilkyskiu";" ";1;"SPB";0.25
"00001323";"Группа 3";"Моцарелла с приправами 0,250х10 шт.";"vnt";1;0;0;"Vilkyskiu";" ";1;"SPB";0.25
"00000744";"Группа 4";"Моцарелла Финелло Арло 41,5%";"kg";1;0;0;"Прочие";"Дания";1;"SPB";
"00000663";"Группа 4";"Мраморный  45% (Белебей)";"kg";1;17;0;"Белебей";" ";1;"SPB";
"00001150";"Группа 4";"Мраморный  45% (Белебей) А";"kg";1;0;0;"Белебей";" ";1;"SPB";
"00000665";"Группа 4";"Мраморный  50% (Шишаки)";"kg";1;0;0;"Украина";"Украина";1;"SPB";
"00000807";"";"Мраморный 45% (Беловежский)";"vnt";1;0;0;" ";" ";1;"SPB";
"00000677";"Группа 4";"Мраморный 45% (Ичалки)";"kg";1;0;0;"Россия - Ичалки";" ";1;"SPB";
"00001174";"Группа 4";"Мраморный 45% (Ичалки) А";"kg";1;0;0;"Россия - Ичалки";" ";1;"SPB";
"00000682";"";"Мраморный 50% (Есиплево)";"vnt";1;0;0;" ";" ";1;"SPB";
"00000946";"Группа 4";"Мраморный 50% (Курск)";"kg";1;0;0;"Россия прочие";" ";1;"SPB";
"00000589";"Группа 4";"Мраморный сыр (Пирятин)";"kg";1;0;0;"Украина";"Украина";1;"SPB";
"00000779";"Группа 4";"Муромскиий 50% (Новопокровский)";"kg";1;0;0;"Новопокровский";" ";1;"SPB";
"00001164";"Группа 4";"Муромскиий 50% акция (Новопокровский)";"kg";1;0;0;"Новопокровский";" ";1;"SPB";
"00000842";"Группа 2";"Мяйстерио  творож.продукт 22% (Литва)";"kg";1;0;0;"Luksiu";"Литва";1;"SPB";
"00000511";"";"Наш Нежный творог 0% 200г х9шт (Сваля)";"vnt";1;0;0;" ";"Литва";1;"SPB";0.2
"00000510";"";"Наш Нежный творог 7% 200г х 9шт Сваля";"vnt";1;0;0;" ";"Литва";1;"SPB";0.2
"00000526";"";"Наш Нежный творог обезж.400г пл.ст.(15шт)""Сваля""";"vnt";1;0;0;" ";"Литва";1;"SPB";0.4
"00000925";"Группа 2";"Не торгуем! Моцарелла 45% (Mozzarella) (Литва)";"vnt";1;0;0;"Rokiskio";"Литва";1;"SPB";
"00000694";"";"Нида плавленный  сыр 170г х 14шт";"vnt";1;0;0;" ";"Литва";1;"SPB";0.17
"00000695";"";"Нида плавленный сыр с ветчиной  170 х 14шт";"vnt";1;0;0;" ";"Литва";1;"SPB";0.17
"00001331";"Группа 5";"Окорок свинной варёный 400гх8 шт.(KREKENAVOS)";"vnt";1;8;0;"Krekenavos";"Литва";1;"SPB";0.4
"00001347";"Группа 5";"Окорок свинной сыровяленный ""Литовский"" (KREKENAVOS)";"kg";1;0;0;"Krekenavos";"Литва";1;"SPB";
"00000762";"";"Оливки, фаршированные свежим сыром 250г";"vnt";1;0;0;" ";"Германия";1;"SPB";0.25
"00000755";"Группа 4";"Ольтерманни 17 % 150г";"vnt";1;0;0;"Прочие";"Финляндия";1;"SPB";0.15
"00000672";"Группа 4";"Ольтерманни 17 % 450г";"vnt";1;0;0;"Прочие";"Финляндия";1;"SPB";0.45
"00000654";"Группа 4";"Ольтерманни 29% 0.5кг";"kg";1;0;0;"Прочие";"Финляндия";1;"SPB";0.5
"00000711";"Группа 4";"Ольтерманни 29% 1кг";"vnt";1;0;0;"Прочие";"Финляндия";1;"SPB";1
"00000754";"Группа 4";"Орфей плавленный 40%";"kg";1;0;0;"Россия прочие";" ";1;"SPB";
"00001297";"Группа 4";"Орфей продукт сырный плавленый";"kg";1;0;0;" ";" ";1;"SPB";
"00001044";"Группа 4";"Освеж. напиток н/газ персик-алоэ ""Тихе""  0,5х12шт";"vnt";1;0;0;"ZP";"Литва";1;"SPB";0.5
"00001047";"Группа 4";"Освеж.напиток н/газ вишня-алоэ""Тихе"" 0,5х12шт";"vnt";1;0;0;"ZP";"Литва";1;"SPB";0.5
"00001045";"Группа 4";"Освеж.напиток н/газ клубника-алоэ ""Тихе"" 0,5х12шт";"vnt";1;0;0;"ZP";"Литва";1;"SPB";0.5
"00001046";"Группа 4";"Освеж.напиток н/газ лесные ягоды""Тихе"" 0,5х12шт";"vnt";1;0;0;"ZP";"Литва";1;"SPB";0.5
"00000947";"";"Осетинский премиум 55% (Курск)";"vnt";1;0;0;" ";" ";1;"SPB";
"00000829";"Группа 4";"Отборный плавленый копченый (Порхов)";"kg";1;0;0;"Порхов";" ";1;"SPB";
"00000666";"Группа 4";"Охотничий  50% (Шишаки)";"kg";1;23;0;"Украина";"Украина";1;"SPB";
